t,y
0,1.0354019354335868
0.04,1.116964979463304
0.08,1.0634630869631057
0.12,1.1307579437357225
0.16,1.0179439563276154
0.2,1.119128682161115
0.24,1.0556634406297345
0.28,1.2251576765016385
0.32,1.3182388116076227
0.36,1.3292744723286642
0.4,1.3096107372589223
0.44,1.4177630386929598
0.48,1.4824492074178455
0.52,1.5449695351337729
0.56,1.6939162455720507
0.6,1.7037821902750516
0.64,1.8787484115544624
0.68,1.8545148460425136
0.72,1.919425942471944
0.76,1.9912579144850264
0.8,2.1660931682266673
0.84,2.2264846699914953
0.88,2.411921377289021
0.92,2.4717584907683583
0.96,2.634290518840207
1,2.840139751046191
1.04,2.8932126863106506
1.08,2.979758332772956
1.12,3.2217681844542114
1.16,3.4237887932707864
1.2,3.5845547114020704
1.24,3.7167029515525867
1.28,4.20518488178171
1.32,4.1171450855032905
1.36,4.2177444482717945
1.4,4.669580605100755
1.44,4.596538268692938
1.48,4.807994086289005
1.52,5.385204779406727
1.56,5.380413250393993
1.6,5.415691872289344
1.64,5.998308595321049
1.68,6.132392962520516
1.72,6.336060113983471
1.76,6.45708018426468
1.8,6.568854271255913
1.84,6.846551737696081
1.88,6.879369979544656
1.92,6.717258880383896
1.96,6.933972608189371
2,6.5796079609588265
2.04,6.587843381753092
2.08,6.350251799295352
2.12,5.90399935979792
2.16,5.656326955951795
2.2,5.170445961379946
2.24,4.7945030326356886
2.28,4.3368224049111035
2.32,3.838240483745986
2.36,3.308192527159032
2.4,2.9361197153975733
2.44,2.611212526588139
2.48,2.3194481872616057
2.52,2.0578371654605863
2.56,1.8361523504646744
2.6,1.7263483707034228
2.64,1.5609828395862497
2.68,1.440056063242043
2.72,1.366697699736227
2.76,1.2545583959222648
2.8,1.2121640442343564
2.84,1.1067138621867596
2.88,1.120865219801299
2.92,1.0211506639309036
2.96,0.9816272173149412
3,0.8793267154471059
3.04,0.953837097099719
3.08,0.8867618210445976
3.12,0.9843980947064506
3.16,0.9330144700815185
3.2,0.9999968237932294
3.24,0.8946495859671648
3.28,1.0308833564278657
3.32,0.9166978750088115
3.36,1.03961787509364
3.4,0.9773796514093356
3.44,1.0903270243515946
3.48,1.1785606545316136
3.52,1.1239847999775825
3.56,1.1801865765570405
3.6,1.2128884339167987
3.64,1.265129946506055
3.68,1.342381085762855
3.72,1.3036606796096692
3.76,1.4438861959523837
3.8,1.4653718852090996
3.84,1.6267175964423122
3.88,1.5778526339502723
3.92,1.7276570027590514
3.96,1.8758527331640131
4,1.7985186952345056
4.04,1.8923172851269843
4.08,2.1445491080332166
4.12,2.027352627216025
4.16,2.28454092726263
4.2,2.3686896640632646
4.24,2.370228676589314
4.28,2.563882844662091
4.32,2.8167657914656035
4.36,2.8713675500872586
4.4,3.107116980045264
4.44,3.2761614508067884
4.48,3.464299021167651
4.52,3.5387572002433076
4.56,3.796300963313972
4.6,3.92491764900193
4.64,4.107919030984846
4.68,4.374809106467152
4.72,4.730374313432264
4.76,4.551982726452115
4.8,5.040792434703818
4.84,5.058906022905086
4.88,5.419313431608518
4.92,5.679768218846994
4.96,5.778873852124833
5,6.072182894045996
5.04,6.280480079085027
5.08,6.5868053868335075
5.12,6.423914671852753
5.16,6.790907376119422
5.2,6.782424055880942
5.24,6.914395083384136
5.28,7.0089774085696295
5.32,6.691046896392727
5.36,6.462707256499989
5.4,6.2074607497815775
5.44,5.900809989308136
5.48,5.595046931434607
5.52,5.012822247703204
5.56,4.723789598867611
5.6,4.346728786128852
5.64,3.8312472677831115
5.68,3.41170681950168
5.72,2.8294780483346953
5.76,2.5685200340702026
5.8,2.306288001888161
5.84,2.0238756679061862
5.88,1.835906228467388
5.92,1.552392255306885
5.96,1.459147836857009
6,1.458669335178838
6.04,1.3920002733682746
6.08,1.222642023955273
6.12,1.1400413145088197
6.16,1.1618128501573126
6.2,1.1126515621131619
6.24,1.0316869240222053
6.28,0.9247565514139646
6.32,0.9929095797567722
6.36,1.0444550902738494
6.4,0.9585010654014626
6.44,0.9204124252353297
6.48,1.0364725455027055
6.52,0.9385311608477596
6.56,0.9963221753529558
6.6,1.0829320169094714
6.64,1.130069766286296
6.68,0.975870049749044
6.72,1.076105541599368
6.76,1.0251424207371127
6.8,1.1876524813002571
6.84,1.1283008803806698
6.88,1.1650701428245083
6.92,1.2772480121725374
6.96,1.2378996287899815
7,1.2161435645222223
7.04,1.3629381472204
7.08,1.3879348477031161
7.12,1.612845091797971
7.16,1.5853798356709397
7.2,1.622184689969844
7.24,1.7589578651086768
7.28,1.8238207268157203
7.32,1.9532530165964987
7.36,1.9416490908874473
7.4,2.0345361802506594
7.44,2.321130097033228
7.48,2.300397277514977
7.52,2.4549274824613985
7.56,2.5837595394927515
7.6,2.6689378781483604
7.64,2.7678514299852113
7.68,2.9143812695239255
7.72,3.0541863094545167
7.76,3.1959960259080247
7.8,3.428706493155197
7.84,3.5356159310458177
7.88,3.7003529100461385
7.92,4.075988330138329
7.96,4.261584088389685
8,4.232042519165883
